BH 2019.08.12 

  /**
   * factor to multiply scale by to set store sequence width
   */
  private static final int QUERY_STORE_SEQUENCE_SIZE_FACTOR = 10;

  /**
   * interval size for the store; absolute(negative) or maximum(positive);
   */
  private static final int QUERY_STORE_INTERVAL_SIZE = 50;

  /**
   * width of query intervals; negative for absolute, positive for max value
   * 
   */
  private static final int QUERY_WIDTH = -1;
  
[RemoteTestNG] detected TestNG version 6.14.2
Java version: 1.8.0_191
amd64 Windows 10 10.0

Test      	size N	iteration	ms	N/ms	ms stderr	rate stderr
NCList incr load nodup	464158	10	352.0	1320.5	4.38	16.10
# incr allowDuplicates:false Naive
Naive incr load nodup	2154	10	2.2	981.8	0.05	19.24
Naive incr load nodup	4641	10	9.8	472.1	0.07	3.20
Naive incr load nodup	10000	10	44.1	227.0	0.25	1.27
Naive incr load nodup	21544	10	218.6	99.7	8.71	3.27
Naive incr load nodup	46415	10	965.7	48.1	4.91	0.24
Naive incr load nodup	100000	10	4858.8	20.6	39.60	0.17
# Query IntStoreNCList store interval size 50 store sequence factor 10 query width -1 query count 100000
# dimensions [5 2154]
IntStoreNCList query	2154	10	36.2	59.5	0.34	0.55
IntStoreNCList query	4641	10	43.3	107.3	0.59	1.38
IntStoreNCList query	10000	10	51.6	193.7	0.23	0.84
IntStoreNCList query	21544	10	61.6	351.0	1.26	6.48
IntStoreNCList query	46415	10	74.3	625.2	0.42	3.52
IntStoreNCList query	100000	10	108.0	927.4	1.51	11.99
IntStoreNCList query	215443	10	147.9	1469.2	4.32	49.88
IntStoreNCList query	464158	10	184.5	2543.3	5.95	96.02
# Query IntStoreLinked store interval size 50 store sequence factor 10 query width -1 query count 100000
# dimensions [58 186]
IntStoreLinked query	2154	10	24.1	90.0	0.67	2.24
IntStoreLinked query	4641	10	25.2	184.2	0.22	1.56
IntStoreLinked query	10000	10	29.2	343.0	0.28	3.13
IntStoreLinked query	21544	10	33.8	636.9	0.21	3.97
IntStoreLinked query	46415	10	38.3	1211.4	0.20	6.39
IntStoreLinked query	100000	10	52.8	1916.8	2.16	63.07
IntStoreLinked query	215443	10	73.7	2924.5	0.23	8.96
IntStoreLinked query	464158	10	119.2	3977.3	6.08	184.53
# Query NCList store interval size 50 store sequence factor 10 query width -1 query count 100000
# dimensions [5 2154]
NCList query	2154	10	27.8	77.7	0.64	1.53
NCList query	4641	10	32.3	143.6	0.27	1.18
NCList query	10000	10	38.3	261.0	0.17	1.18
NCList query	21544	10	49.3	437.7	0.52	4.81
NCList query	46415	10	68.7	676.7	0.72	7.57
NCList query	100000	10	92.7	1098.7	3.90	54.58
NCList query	215443	10	112.8	1943.2	4.59	92.72
NCList query	464158	10	137.6	3419.2	4.86	142.66
# Query Naive store interval size 50 store sequence factor 10 query width -1 query count 100000
# dimensions [1 2154]
Naive query	2154	10	2580.6	0.8	16.33	0.01
# remove IntStoreNCList
IntStoreNCList remove	2154	10	0.4	4988.4	0.01	130.82
IntStoreNCList remove	4641	10	0.9	5164.8	0.05	250.99
IntStoreNCList remove	10000	10	0.7	14362.4	0.04	744.18
IntStoreNCList remove	21544	10	1.0	22322.6	0.04	840.83
IntStoreNCList remove	46415	10	1.8	26848.4	0.07	1064.09
IntStoreNCList remove	100000	10	3.1	32153.9	0.05	494.83
IntStoreNCList remove	215443	10	6.5	33192.6	0.06	291.80
IntStoreNCList remove	464158	10	14.3	32568.0	0.23	511.13
# remove IntStoreLinked
IntStoreLinked remove	2154	10	0.4	5904.2	0.04	489.31
IntStoreLinked remove	4641	10	0.5	10109.9	0.01	176.93
IntStoreLinked remove	10000	10	0.7	13836.8	0.03	712.59
IntStoreLinked remove	21544	10	1.2	18113.9	0.03	392.91
IntStoreLinked remove	46415	10	2.4	19366.2	0.02	191.18
IntStoreLinked remove	100000	10	5.8	17260.2	0.09	253.70
IntStoreLinked remove	215443	10	13.8	15649.2	0.12	133.77
IntStoreLinked remove	464158	10	31.2	14991.4	1.06	421.86
# remove NCList
NCList remove	2154	10	0.3	7043.9	0.00	60.44
NCList remove	4641	10	0.5	9339.5	0.01	159.18
NCList remove	10000	10	0.8	13071.4	0.02	380.74
NCList remove	21544	10	1.2	18691.2	0.01	187.34
NCList remove	46415	10	2.0	23176.3	0.08	782.44
NCList remove	100000	10	3.5	29234.6	0.15	1060.36
NCList remove	215443	10	6.4	33588.2	0.10	509.71
NCList remove	464158	10	14.1	32936.7	0.19	440.60
# remove Naive
Naive remove	2154	10	0.6	3687.5	0.01	57.13
Naive remove	4641	10	1.8	2551.8	0.01	20.64
Naive remove	10000	10	4.7	2144.8	0.14	57.56
Naive remove	21544	10	10.7	2010.4	0.15	27.14
Naive remove	46415	10	24.1	1931.0	0.26	20.85
Naive remove	100000	10	56.4	1773.5	0.27	8.66
Naive remove	215443	10	178.0	1216.1	4.35	25.71
Naive remove	464158	10	449.9	1036.4	10.28	23.08

PASSED: testLoadTimeBulk
PASSED: testLoadTimeIncrementalAllowDulicates
PASSED: testLoadTimeIncrementalNoDuplicates
PASSED: testQueryTime
PASSED: testRemoveTime

===============================================
    Default test
    Tests run: 5, Failures: 0, Skips: 0
===============================================


===============================================
Default suite
Total tests run: 5, Failures: 0, Skips: 0
===============================================

